Adj Close,Close,Date,High,Low,Open,Volume
30.538546,31.82,2017-06-01,31.82,31.469999,31.52,15525500
30.692101,31.98,2017-06-02,32.060001,31.68,31.93,20085200
30.480963,31.76,2017-06-05,32.049999,31.57,32.049999,15976000
30.289015,31.559999,2017-06-06,31.76,31.5,31.75,16186600
30.337006,31.610001,2017-06-07,31.719999,31.440001,31.610001,14948400
30.337006,31.610001,2017-06-08,31.809999,31.52,31.530001,21732000
30.106668,31.370001,2017-06-09,31.83,31.09,31.639999,25376600
29.991501,31.25,2017-06-12,31.639999,31.15,31.34,25784400
30.42338,31.700001,2017-06-13,31.799999,31.280001,31.299999,27781000
30.327406,31.6,2017-06-14,31.969999,31.33,31.870001,24940400
30.308208,31.58,2017-06-15,31.639999,31.219999,31.25,19328000
30.356195,31.629999,2017-06-16,31.639999,31.200001,31.610001,36367400
30.7017,31.99,2017-06-19,32.02,31.58,31.77,18459200
30.567339,31.85,2017-06-20,32.16,31.84,31.940001,18190100
30.557741,31.84,2017-06-21,31.870001,31.51,31.73,20386100
30.567339,31.85,2017-06-22,32.0,31.700001,31.91,19436600
30.79767,32.09,2017-06-23,32.299999,31.75,31.85,25792200
30.941631,32.240002,2017-06-26,32.5,32.18,32.220001,22175000
30.480963,31.76,2017-06-27,32.259998,31.76,32.09,23224200
30.788078,32.080002,2017-06-28,32.279999,31.76,31.780001,17732300
30.145056,31.41,2017-06-29,32.029999,31.25,31.790001,27664500
30.039486,31.299999,2017-06-30,31.790001,31.299999,31.790001,23604600
30.068281,31.33,2017-07-03,31.639999,31.030001,31.09,14112100
30.136087,31.110001,2017-07-05,31.27,30.73,30.85,24270300
29.758295,30.719999,2017-07-06,31.02,30.67,30.99,20789100
29.932661,30.9,2017-07-07,31.07,30.75,30.76,15860600
30.010159,30.98,2017-07-10,31.09,30.82,30.879999,15528800
30.116713,31.09,2017-07-11,31.120001,30.860001,31.049999,12806000
30.184523,31.16,2017-07-12,31.440001,31.15,31.25,18586200
30.291079,31.27,2017-07-13,31.280001,31.08,31.26,15934200
30.436382,31.42,2017-07-14,31.450001,31.27,31.370001,13573100
