Adj Close,Close,Date,High,Low,Open,Volume
62.738228,65.260002,2017-06-01,65.260002,64.860001,65.089996,7560500
62.940109,65.470001,2017-06-02,65.580002,65.18,65.459999,6298600
62.555565,65.07,2017-06-05,65.389999,64.699997,65.349998,5968500
62.171021,64.669998,2017-06-06,65.040001,64.459999,65.0,7841800
61.584595,64.059998,2017-06-07,64.650002,64.0,64.599998,7606600
60.757828,63.200001,2017-06-08,64.25,62.830002,64.059998,18435200
61.901844,64.389999,2017-06-09,64.440002,63.139999,63.200001,10750400
61.901844,64.389999,2017-06-12,64.68,64.199997,64.389999,9400300
61.272369,63.27,2017-06-13,63.84,63.029999,63.73,12053000
61.369205,63.369999,2017-06-14,63.639999,63.02,63.02,10338600
61.194893,63.189999,2017-06-15,63.439999,62.880001,63.299999,7866800
60.981838,62.970001,2017-06-16,63.709999,62.689999,63.259998,14902000
61.669418,63.68,2017-06-19,63.810001,63.02,63.09,8426900
62.492584,64.529999,2017-06-20,64.959999,63.580002,63.68,10263000
63.393223,65.459999,2017-06-21,65.599998,64.559998,64.559998,11145000
63.935532,66.019997,2017-06-22,66.370003,65.379997,65.510002,13441900
64.071121,66.160004,2017-06-23,66.389999,65.839996,66.040001,14093500
63.838692,65.919998,2017-06-26,66.400002,65.830002,66.150002,7576400
63.470695,65.540001,2017-06-27,66.269997,65.540001,66.269997,8121600
63.102695,65.160004,2017-06-28,65.900002,65.139999,65.760002,6733300
62.308575,64.339996,2017-06-29,65.080002,64.089996,65.010002,8350300
62.066467,64.089996,2017-06-30,64.730003,64.0,64.489998,8360900
62.240791,64.269997,2017-07-03,64.629997,63.849998,63.849998,4671400
62.134266,64.160004,2017-07-05,64.800003,63.919998,64.470001,6507800
61.107731,63.099998,2017-07-06,63.91,62.990002,63.77,11342700
61.165836,63.16,2017-07-07,63.34,62.810001,63.209999,7243400
60.84626,62.830002,2017-07-10,63.400002,62.610001,63.389999,6713800
60.371723,62.34,2017-07-11,62.98,62.240002,62.82,6877500
60.797832,62.779999,2017-07-12,63.130001,62.66,62.66,8216000
60.904362,62.889999,2017-07-13,62.990002,62.279999,62.790001,6799200
61.069,63.060001,2017-07-14,63.400002,62.860001,62.93,6020900
60.633202,62.610001,2017-07-17,63.310001,62.529999,63.150002,7387300
60.439518,62.41,2017-07-18,62.630001,62.27,62.5,6114900
60.642887,62.619999,2017-07-19,62.830002,62.439999,62.5,5699100
60.952785,62.939999,2017-07-20,63.240002,62.860001,62.91,6655100
60.652569,62.630001,2017-07-21,63.0,62.580002,62.790001,6906400
60.594467,62.57,2017-07-24,62.900002,62.5,62.540001,7783700
60.391098,62.360001,2017-07-25,63.0,62.25,62.849998,5955900
59.848778,61.799999,2017-07-26,62.34,61.720001,62.310001,9366700
61.679104,63.689999,2017-07-27,64.550003,62.799999,63.669998,21846300
62.085846,64.110001,2017-07-28,64.360001,63.220001,63.810001,13342100
61.863106,63.880001,2017-07-31,64.309998,63.509998,64.25,11714900
61.90184,63.919998,2017-08-01,64.269997,63.77,64.040001,6490900
61.436996,63.439999,2017-08-02,63.959999,63.169998,63.950001,7034900
61.514473,63.52,2017-08-03,63.73,63.18,63.209999,7018800
61.107731,63.099998,2017-08-04,63.689999,62.939999,63.630001,5341000
60.855938,62.84,2017-08-07,63.09,62.66,62.950001,6696800
60.35236,62.32,2017-08-08,62.720001,62.200001,62.540001,7680100
60.516991,62.490002,2017-08-09,62.720001,62.220001,62.450001,6552300
60.216782,62.18,2017-08-10,62.580002,62.169998,62.369999,7765100
60.410465,62.380001,2017-08-11,62.959999,62.259998,62.419998,6051000
60.691303,62.669998,2017-08-14,63.0,62.59,62.91,5467100
60.526676,62.5,2017-08-15,63.029999,62.490002,62.73,6316000
60.72036,62.700001,2017-08-16,62.93,62.330002,62.43,6061200
59.887512,61.84,2017-08-17,63.02,61.810001,62.75,9150100
59.548565,61.490002,2017-08-18,61.82,61.16,61.77,8421700
60.013412,61.970001,2017-08-21,62.040001,61.43,61.48,7197200
60.4492,62.419998,2017-08-22,62.5,61.919998,61.970001,5515200
60.187729,62.150002,2017-08-23,62.599998,62.150002,62.25,6434900
60.730045,62.709999,2017-08-24,62.91,62.189999,62.25,7750100
60.952785,62.939999,2017-08-25,63.290001,62.77,62.869999,5274900
61.320786,63.32,2017-08-28,63.459999,62.98,63.110001,7498200
61.127102,63.119999,2017-08-29,63.209999,62.720001,63.130001,6564700
61.127102,63.119999,2017-08-30,63.169998,62.900002,63.139999,5022500
61.843739,63.860001,2017-08-31,63.919998,62.950001,63.349998,12903000
61.814686,63.830002,2017-09-01,64.099998,63.599998,63.790001,6185100
61.611317,63.619999,2017-09-05,64.110001,63.459999,63.75,7236200
61.979313,64.0,2017-09-06,64.330002,63.77,63.889999,7148700
62.289215,64.32,2017-09-07,64.419998,63.790001,64.089996,6856400
62.240791,64.269997,2017-09-08,64.529999,63.939999,63.990002,7365800
63.073639,65.129997,2017-09-11,65.309998,64.68,64.940002,10291600
63.393223,65.459999,2017-09-12,65.620003,65.120003,65.120003,7354200
63.383533,65.449997,2017-09-13,65.550003,65.300003,65.360001,5628700
64.495529,66.120003,2017-09-14,66.169998,64.910004,64.989998,9959100
64.534546,66.160004,2017-09-15,66.379997,65.75,66.169998,14685800
64.368713,65.989998,2017-09-18,66.410004,65.809998,66.019997,10543200
64.329704,65.949997,2017-09-19,66.160004,65.68,66.019997,7009300
64.173637,65.790001,2017-09-20,66.309998,65.190002,66.07,9450000
63.988293,65.599998,2017-09-21,65.93,65.519997,65.849998,5968700
63.529846,65.129997,2017-09-22,65.699997,65.07,65.629997,7465900
63.578625,65.18,2017-09-25,65.400002,65.040001,65.160004,5573400
63.168941,64.760002,2017-09-26,65.32,64.720001,65.099998,6976200
62.983608,64.57,2017-09-27,64.75,64.32,64.68,6691900
62.710487,64.290001,2017-09-28,64.660004,64.169998,64.269997,7022800
62.456875,64.029999,2017-09-29,64.529999,63.330002,64.290001,11449600
62.9641,64.550003,2017-10-02,64.68,63.889999,64.209999,6743400
62.788525,64.370003,2017-10-03,64.580002,63.779999,64.550003,6507100
63.012871,64.599998,2017-10-04,64.620003,64.330002,64.419998,6414700
63.012871,64.599998,2017-10-05,64.800003,64.330002,64.419998,9150000
62.9641,64.550003,2017-10-06,64.900002,64.370003,64.699997,7488400
62.749504,64.330002,2017-10-09,64.739998,64.120003,64.669998,5451300
62.876308,64.459999,2017-10-10,64.470001,64.190002,64.309998,4921000
