Adj Close,Close,Date,High,Low,Open,Volume
51.647434,52.299999,2017-06-01,53.299999,52.209999,53.060001,13352100
52.318947,52.98,2017-06-02,53.009998,52.360001,52.700001,18511200
52.348576,53.009998,2017-06-05,53.23,52.700001,53.0,5748900
51.825188,52.48,2017-06-06,53.099998,52.43,52.900002,8923000
52.56583,53.23,2017-06-07,53.360001,52.75,52.790001,7438300
52.536213,53.200001,2017-06-08,54.139999,53.150002,53.23,7680200
52.792961,53.459999,2017-06-09,53.470001,52.799999,53.200001,8347400
53.355846,54.029999,2017-06-12,54.25,53.5,53.509998,9180000
53.632359,54.310001,2017-06-13,54.66,53.84,54.029999,8720100
53.977993,54.66,2017-06-14,54.669998,53.950001,54.48,6783900
52.239948,52.900002,2017-06-15,54.049999,52.73,54.0,16041100
50.46241,51.099998,2017-06-16,51.84,50.790001,51.75,25725500
51.37093,52.02,2017-06-19,52.220001,51.400002,51.419998,11265300
50.916672,51.560001,2017-06-20,52.130001,51.099998,52.049999,10676500
51.933819,52.59,2017-06-21,52.689999,51.900002,51.900002,13021700
51.746189,52.400002,2017-06-22,52.619999,52.09,52.599998,10660700
52.190575,52.849998,2017-06-23,52.919998,51.669998,52.150002,8522400
52.615204,53.279999,2017-06-26,53.57,52.669998,52.950001,7966200
52.289326,52.950001,2017-06-27,53.259998,52.639999,53.189999,7873100
52.69421,53.360001,2017-06-28,53.610001,52.959999,53.169998,7527200
52.50658,53.169998,2017-06-29,53.630001,52.990002,53.330002,14801900
58.26384,59.0,2017-06-30,59.709999,56.5,56.599998,46553000
57.918205,58.650002,2017-07-03,59.009998,58.330002,58.369999,9910000
56.841808,57.560001,2017-07-05,58.290001,57.509998,58.240002,16167000
56.446796,57.16,2017-07-06,57.720001,57.0,57.450001,9035700
57.256565,57.98,2017-07-07,58.080002,57.029999,57.400002,8145400
57.997208,58.73,2017-07-10,58.810001,57.68,57.889999,8942400
57.454067,58.18,2017-07-11,58.93,58.040001,58.540001,7223000
57.493576,58.220001,2017-07-12,58.75,58.099998,58.310001,7243100
57.21706,57.939999,2017-07-13,58.580002,57.93,58.220001,8108600
57.276314,58.0,2017-07-14,58.209999,57.639999,57.950001,6345300
57.068939,57.790001,2017-07-17,58.349998,57.759998,58.0,6885000
56.930687,57.650002,2017-07-18,58.080002,57.470001,57.740002,4922500
57.049187,57.77,2017-07-19,57.880001,57.389999,57.599998,4451100
58.362591,59.099998,2017-07-20,59.59,58.799999,59.119999,11915500
59.201988,59.950001,2017-07-21,60.0,58.91,59.0,11048300
58.214462,58.950001,2017-07-24,59.77,58.759998,59.689999,7498900
58.648972,59.389999,2017-07-25,59.52,58.919998,59.32,5157100
57.631821,58.360001,2017-07-26,59.130001,58.32,59.09,5529500
57.424446,58.150002,2017-07-27,58.68,57.990002,58.599998,8259900
57.937954,58.669998,2017-07-28,58.740002,57.970001,58.150002,5112800
58.313213,59.049999,2017-07-31,59.119999,58.330002,58.709999,6225900
59.093361,59.84,2017-08-01,59.939999,58.900002,59.0,9051700
59.043983,59.790001,2017-08-02,59.950001,59.27,59.549999,4468100
59.389614,60.139999,2017-08-03,60.529999,59.639999,59.799999,5677200
59.014355,59.759998,2017-08-04,60.34,59.630001,60.169998,4106000
59.043983,59.790001,2017-08-07,60.099998,59.709999,59.82,4066700
58.718102,59.459999,2017-08-08,60.119999,59.360001,59.880001,5586400
59.152611,59.900002,2017-08-09,59.970001,59.259998,59.419998,5310900
58.332966,59.07,2017-08-10,59.689999,59.060001,59.68,5585100
58.234219,58.970001,2017-08-11,59.27,58.59,58.73,4980000
59.034107,59.779999,2017-08-14,60.0,59.130001,59.150002,5838300
57.829327,58.560001,2017-08-15,59.009998,58.290001,58.939999,8913000
57.809582,58.540001,2017-08-16,59.049999,58.220001,58.900002,5489600
56.743057,57.459999,2017-08-17,58.740002,57.419998,58.529999,9148600
54.264374,54.950001,2017-08-18,55.419998,54.169998,54.849998,22905200
52.941093,53.610001,2017-08-21,54.439999,53.110001,54.439999,14289300
53.454605,54.130001,2017-08-22,54.41,53.790001,53.919998,8212800
52.941093,53.610001,2017-08-23,54.080002,53.450001,53.919998,6409400
53.168221,53.84,2017-08-24,53.970001,53.459999,53.93,5461900
53.227478,53.900002,2017-08-25,54.200001,53.540001,54.029999,6416600
53.059597,53.73,2017-08-28,54.43,53.619999,54.07,5269400
52.072071,52.73,2017-08-29,52.880001,52.07,52.740002,12539900
51.904194,52.560001,2017-08-30,52.959999,52.25,52.799999,7434500
52.330288,52.810001,2017-08-31,52.98,52.470001,52.599998,7728900
52.87529,53.360001,2017-09-01,53.450001,52.900002,53.0,5509800
52.528465,53.009998,2017-09-05,53.470001,52.880001,53.25,6306500
52.280739,52.759998,2017-09-06,53.34,52.709999,53.119999,7407600
51.914097,52.389999,2017-09-07,52.849998,52.34,52.759998,6905800
51.725826,52.200001,2017-09-08,52.509998,52.110001,52.25,8563300
52.548286,53.029999,2017-09-11,53.130001,52.32,52.380001,8649900
52.914928,53.400002,2017-09-12,54.09,53.299999,53.77,7823700
53.033836,53.52,2017-09-13,53.639999,53.040001,53.450001,6086000
53.241932,53.73,2017-09-14,53.889999,53.119999,53.540001,7497400
53.380653,53.869999,2017-09-15,54.060001,53.52,53.860001,10046800
53.014019,53.5,2017-09-18,54.16,53.400002,53.869999,8166400
52.845566,53.330002,2017-09-19,54.049999,52.509998,52.779999,14707200
53.073471,53.560001,2017-09-20,53.639999,53.040001,53.490002,7058000
52.706833,53.189999,2017-09-21,53.639999,53.09,53.549999,8065400
